25.0,4,97.50,80.00,2126.,17.0,72,1,dodge colt hardtop,dodge
20.0,4,140.0,90.00,2408.,19.5,72,1,chevrolet vega,chevrolet
21.0,4,122.0,86.00,2226.,16.5,72,1,ford pinto runabout,ford
13.0,8,350.0,165.0,4274.,12.0,72,1,chevrolet impala,chevrolet
14.0,8,400.0,175.0,4385.,12.0,72,1,pontiac catalina,pontiac
15.0,8,318.0,150.0,4135.,13.5,72,1,plymouth fury iii,plymouth
14.0,8,351.0,153.0,4129.,13.0,72,1,ford galaxie 500,ford
17.0,8,304.0,150.0,3672.,11.5,72,1,amc ambassador sst,amc
15.0,8,304.0,150.0,3892.,12.5,72,1,amc matador (sw),amc
13.0,8,307.0,130.0,4098.,14.0,72,1,chevrolet chevelle concours (sw),chevrolet
13.0,8,302.0,140.0,4294.,16.0,72,1,ford gran torino (sw),ford
14.0,8,318.0,150.0,4077.,14.0,72,1,plymouth satellite custom (sw),plymouth
22.0,4,122.0,86.00,2395.,16.0,72,1,ford pinto (sw),ford
28.0,4,97.00,92.00,2288.,17.0,72,3,datsun 510 (sw),datsun
28.0,4,98.00,80.00,2164.,15.0,72,1,dodge colt (sw),dodge
