27.2,4,135.0,84.00,2490.,15.7,81,1,plymouth reliant,plymouth
25.8,4,156.0,92.00,2620.,14.4,81,1,dodge aries wagon (sw),dodge
23.5,6,173.0,110.0,2725.,12.6,81,1,chevrolet citation,chevrolet
30.0,4,135.0,84.00,2385.,12.9,81,1,plymouth reliant,plymouth
39.0,4,86.00,64.00,1875.,16.4,81,1,plymouth champ,plymouth
37.0,4,85.00,65.00,1975.,19.4,81,3,datsun 210 mpg,datsun
34.7,4,105.0,63.00,2215.,14.9,81,1,plymouth horizon 4,plymouth
34.4,4,98.00,65.00,2045.,16.2,81,1,ford escort 4w,ford
29.9,4,98.00,65.00,2380.,20.7,81,1,ford escort 2h,ford
32.9,4,119.0,100.0,2615.,14.8,81,3,datsun 200sx,datsun
24.2,6,146.0,120.0,2930.,13.8,81,3,datsun 810 maxima,datsun
20.2,6,200.0,88.00,3060.,17.1,81,1,ford granada gl,ford
