20.0,6,198.0,95.00,3102.,16.5,74,1,plymouth duster,plymouth
21.0,6,200.0,,2875.,17.0,74,1,ford maverick,ford
19.0,6,232.0,100.0,2901.,16.0,74,1,amc hornet,amc
15.0,6,250.0,100.0,3336.,17.0,74,1,chevrolet nova,chevrolet
31.0,4,79.00,67.00,1950.,19.0,74,3,datsun b210,datsun
26.0,4,122.0,80.00,2451.,16.5,74,1,ford pinto,ford
25.0,4,140.0,75.00,2542.,17.0,74,1,chevrolet vega,chevrolet
16.0,6,250.0,100.0,3781.,17.0,74,1,chevrolet chevelle malibu classic,chevrolet
16.0,6,258.0,110.0,3632.,18.0,74,1,amc matador,amc
18.0,6,225.0,105.0,3613.,16.5,74,1,plymouth satellite sebring,plymouth
16.0,8,302.0,140.0,4141.,14.0,74,1,ford gran torino,ford
14.0,8,318.0,150.0,4457.,13.5,74,1,dodge coronet custom (sw),dodge
14.0,8,302.0,140.0,4638.,16.0,74,1,ford gran torino (sw),ford
14.0,8,304.0,150.0,4257.,15.5,74,1,amc matador (sw),amc
32.0,4,83.00,61.00,2003.,19.0,74,3,datsun 710,datsun
28.0,4,90.00,75.00,2125.,14.5,74,1,dodge colt,dodge
