27.0,4,97.00,88.00,2130.,14.5,71,3,datsun pl510,datsun
28.0,4,140.0,90.00,2264.,15.5,71,1,chevrolet vega 2300,chevrolet
25.0,4,98.00,,2046.,19.0,71,1,ford pinto,ford
19.0,6,232.0,100.0,2634.,13.0,71,1,amc gremlin,amc
16.0,6,225.0,105.0,3439.,15.5,71,1,plymouth satellite custom,plymouth
17.0,6,250.0,100.0,3329.,15.5,71,1,chevrolet chevelle malibu,chevrolet
19.0,6,250.0,88.00,3302.,15.5,71,1,ford torino 500,ford
18.0,6,232.0,100.0,3288.,15.5,71,1,amc matador,amc
14.0,8,350.0,165.0,4209.,12.0,71,1,chevrolet impala,chevrolet
14.0,8,400.0,175.0,4464.,11.5,71,1,pontiac catalina brougham,pontiac
14.0,8,351.0,153.0,4154.,13.5,71,1,ford galaxie 500,ford
14.0,8,318.0,150.0,4096.,13.0,71,1,plymouth fury iii,plymouth
12.0,8,383.0,180.0,4955.,11.5,71,1,dodge monaco (sw),dodge
13.0,8,400.0,170.0,4746.,12.0,71,1,ford country squire (sw),ford
13.0,8,400.0,175.0,5140.,12.0,71,1,pontiac safari (sw),pontiac
18.0,6,258.0,110.0,2962.,13.5,71,1,amc hornet sportabout (sw),amc
22.0,4,140.0,72.00,2408.,19.0,71,1,chevrolet vega (sw),chevrolet
19.0,6,250.0,100.0,3282.,15.0,71,1,pontiac firebird,pontiac
18.0,6,250.0,88.00,3139.,14.5,71,1,ford mustang,ford
35.0,4,72.00,69.00,1613.,18.0,71,3,datsun 1200,datsun
26.0,4,91.00,70.00,1955.,20.5,71,1,plymouth cricket,plymouth
